"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C9","0603_cap","21.592mm","18.686mm","21.59mm","18.796mm","20.83mm","18.686mm","T","0.00","Cap"
"U6","LC-TSSOP-20","17.018mm","13.716mm","17.018mm","13.716mm","14.168mm","16.641mm","T","270.00","STM8L051F3P6"
"U5","SOT223","5.334mm","9.652mm","5.334mm","9.652mm","8.434mm","7.352mm","T","90.00","AMS1117-3.3"
"U4","SOT223","5.334mm","18.288mm","5.334mm","18.288mm","8.434mm","15.988mm","T","90.00","AMS1117-5.0"
"U3","LC-SOP-16_150mil","28.956mm","15.748mm","28.956mm","15.748mm","33.401mm","18.148mm","T","180.00","74HC595"
"U2","LC-SOP-16_150mil","40.894mm","15.748mm","40.894mm","15.748mm","45.339mm","18.148mm","T","180.00","74HC595"
"U1","DIP3","33.782mm","29.972mm","27.432mm","24.892mm","27.432mm","24.892mm","T","90.00","DIP3"
"R7","0603","48.768mm","8.89mm","48.006mm","8.89mm","48.006mm","8.89mm","B","360.00","0"
"R6","0603","45.974mm","19.304mm","45.974mm","20.066mm","45.974mm","20.066mm","B","270.00","103"
"R5","0603","49.022mm","31.242mm","49.784mm","31.242mm","49.784mm","31.242mm","B","180.00","103"
"R4","0603","37.338mm","6.604mm","37.338mm","5.842mm","37.338mm","5.842mm","B","90.00","103"
"R3","0603","19.304mm","4.064mm","19.304mm","4.826mm","19.304mm","4.826mm","B","270.00","103"
"R2","0603","10.922mm","13.208mm","10.922mm","13.97mm","10.922mm","13.97mm","T","270.00","103"
"R1","1206","11.4935mm","35.052mm","13.208mm","35.052mm","13.208mm","35.052mm","T","180.00","0"
"Q1","SOT-23R","27.178mm","7.239mm","27.178mm","7.112mm","28.128mm","6.064mm","T","360.00","S8050"
"P5","HDR1X2","50.038mm","20.066mm","50.038mm","21.336mm","50.038mm","21.336mm","T","270.00","TEMP1"
"P4","HDR1X2","50.038mm","27.178mm","50.038mm","25.908mm","50.038mm","25.908mm","T","90.00","TEMP1"
"P3","HDR1X2","50.038mm","13.208mm","50.038mm","14.478mm","50.038mm","14.478mm","T","270.00","RHOT"
"P2","HDR1X4","18.034mm","26.416mm","18.034mm","30.226mm","18.034mm","30.226mm","T","270.00","STLINK"
"P1","source","11.108mm","25.694mm","0.508mm","28.194mm","14.208mm","28.194mm","T","360.00","SOURCE"
"K2","KEY6*6","35.862mm","5.178mm","38.862mm","8.128mm","40.362mm","2.928mm","T","180.00","KEY_4"
"K1","KEY6*6","17.828mm","5.178mm","20.828mm","8.128mm","22.328mm","2.928mm","T","180.00","KEY_4"
"C8","0603_cap","34.688mm","6.606mm","34.798mm","6.604mm","34.688mm","5.844mm","B","90.00","Cap"
"C7","0603_cap","17.162mm","4.066mm","17.272mm","4.064mm","17.162mm","3.304mm","B","90.00","Cap"
"C6","0603_cap","17.924mm","17.528mm","18.034mm","17.526mm","17.924mm","16.766mm","B","90.00","Cap"
"C5","A_3216","14.478mm","16.764mm","14.478mm","16.764mm","14.478mm","18.074mm","B","90.00","CAP"
"C4","0603_cap","10.812mm","8.13mm","10.922mm","8.128mm","10.812mm","7.368mm","B","90.00","Cap"
"C3","A_3216","8.128mm","8.89mm","8.128mm","8.89mm","8.128mm","10.2mm","B","90.00","CAP"
"C2","0603_cap","11.066mm","18.036mm","11.176mm","18.034mm","11.066mm","17.274mm","B","90.00","Cap"
"C1","A_3216","8.128mm","17.272mm","8.128mm","17.272mm","8.128mm","18.582mm","B","90.00","CAP"

